alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-128 0.0454025 0.151307 0.884051 3.37632 0.0 0.00917482 0.00917482 0.0309952 0.0 3.06459 0.220725 0.0214624 0.684566 4.260371
0-16 0.0165036 0.215364 0.595414 15.4322 0.0 0.00668145 0.00668145 0.0306864 0.0 14.4487 0.826751 0.0585163 0.362549 16.027614
0-256 0.0549323 0.158507 0.603166 2.49647 0.0 0.00836865 0.00836865 0.0343418 0.0 2.29833 0.116602 0.0142866 0.386289 3.099636
0-32 0.0389499 0.153233 0.505104 8.37131 0.0 0.00842258 0.00842258 0.0298878 0.0 7.82763 0.424352 0.0335839 0.310575 8.876414
0-64 0.0462695 0.143631 0.557534 5.82278 0.0 0.00790158 0.00790158 0.0297096 0.0 5.30445 0.424842 0.021113 0.365783 6.380314
0-8 0.0161919 0.213975 0.615281 29.5304 0.0 0.00641228 0.00641228 0.034584 0.0 27.6868 1.61169 0.117805 0.384435 30.145681
1-128 0.0453598 0.158547 0.897613 3.8575 0.0 0.00877105 0.00877105 0.0333157 0.0 3.06684 0.228 0.491266 0.691154 4.755113
1-16 0.0166421 0.219139 0.645701 15.5249 0.0 0.00619894 0.00619894 0.0319535 0.0 14.3797 0.826407 0.219383 0.409108 16.170601
1-256 0.0516417 0.17143 0.698957 3.08856 0.0 0.00879498 0.00879498 0.042724 0.0 2.21562 0.120563 0.675625 0.471883 3.787517
1-32 0.0397372 0.169556 0.560062 8.7028 0.0 0.00682931 0.00682931 0.0324513 0.0 7.80892 0.427186 0.378331 0.348781 9.262862
1-64 0.0465161 0.137872 0.591457 6.14069 0.0 0.00817399 0.00817399 0.0315798 0.0 5.30758 0.4252 0.333247 0.404611 6.732147
1-8 0.0162164 0.217184 0.622496 29.7229 0.0 0.00760451 0.00760451 0.0424938 0.0 27.7187 1.61122 0.269908 0.388434 30.345396
2-128 0.0529987 0.163744 0.749853 3.66167 0.0 0.00794548 0.00794548 0.0317107 0.0 3.27333 0.220909 0.0990863 0.530211 4.411523
2-16 0.0164627 0.218436 0.604457 15.8221 0.0 0.00655441 0.00655441 0.0298404 0.0 14.4032 0.825733 0.495787 0.368703 16.426557
2-256 0.0549074 0.173279 0.754578 2.45212 0.0 0.0102756 0.0102756 0.039449 0.0 2.18169 0.121206 0.0745716 0.523641 3.206698
2-32 0.0384633 0.218715 0.603251 8.60067 0.0 0.00756816 0.00756816 0.0299258 0.0 7.81958 0.424346 0.270912 0.34417 9.203921
2-64 0.0465819 0.145537 0.553903 5.96675 0.0 0.00809071 0.00809071 0.029481 0.0 5.31282 0.425419 0.156397 0.359802 6.520653
2-8 0.0163817 0.218112 0.605354 30.4048 0.0 0.00698028 0.00698028 0.0384877 0.0 27.7254 1.61405 0.946965 0.370199 31.010154
4-128 0.0444169 0.158654 0.900622 4.01709 0.0 0.0103553 0.0103553 0.0314421 0.0 3.07621 0.224417 0.64468 0.694492 4.917712
4-16 0.017016 0.217142 0.592273 16.2777 0.0 0.00690135 0.00690135 0.031223 0.0 14.402 0.823711 0.952618 0.357202 16.869973
4-256 0.0553238 0.180926 0.841296 3.053 0.0 0.00797437 0.00797437 0.0374761 0.0 2.18648 0.120665 0.676317 0.600879 3.894296
4-32 0.0388472 0.222939 0.607268 9.14327 0.0 0.00673394 0.00673394 0.03056 0.0 7.84238 0.425572 0.787982 0.343368 9.750538
4-64 0.0463728 0.117058 0.53843 6.38739 0.0 0.00827282 0.00827282 0.0309508 0.0 5.30497 0.424404 0.582965 0.372852 6.92582
4-8 0.0158354 0.211797 0.581225 31.0704 0.0 0.00650726 0.00650726 0.0342887 0.0 27.7235 1.61126 1.62215 0.352965 31.651625
5-128 0.0437798 0.181311 0.945493 3.94231 0.0 0.00991015 0.00991015 0.0313812 0.0 3.05664 0.221368 0.592948 0.718017 4.887803
5-16 0.0163729 0.218268 0.609527 15.9177 0.0 0.00669567 0.00669567 0.0306745 0.0 14.3839 0.826934 0.607997 0.374075 16.527227
5-256 0.0484774 0.169223 0.744741 3.00871 0.0 0.00959709 0.00959709 0.0380179 0.0 2.18482 0.121738 0.630746 0.522774 3.753451
5-32 0.0403582 0.225629 0.601322 8.9637 0.0 0.00681591 0.00681591 0.0306082 0.0 7.82385 0.427322 0.625196 0.333475 9.565022
5-64 0.0469489 0.0935831 0.511919 6.3022 0.0 0.00770077 0.00770077 0.0304347 0.0 5.28437 0.424599 0.52063 0.369432 6.814119
5-8 0.0160603 0.216213 0.560458 30.3763 0.0 0.00729034 0.00729034 0.0389536 0.0 27.7111 1.60901 0.937046 0.327543 30.936758
