alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.00169842 0.0014837 0.0086274 34.9652 0.0 0.00515835 0.00515835 0.0489927 0.0 34.5434 0.224906 0.129181 0.00541449 34.9738274
0-16 0.025583 0.0669873 0.66241 34.7327 0.0 0.00601082 0.00601082 0.0448166 0.0 34.4158 0.223886 0.0253191 0.569006 35.39511
0-256 0.112045 0.267725 1.12869 34.7854 0.0 0.00880121 0.00880121 0.0537218 0.0 34.4701 0.223785 0.0081502 0.744744 35.91409
0-81 0.0367171 0.135194 0.885541 34.9431 0.0 0.00852144 0.00852144 0.0475923 0.0 34.6308 0.223769 0.0147602 0.712045 35.828641
1-1 0.00166805 0.00149842 0.00859222 35.0062 0.0 0.00518816 0.00518816 0.0519842 0.0 34.5089 0.225639 0.200908 0.0053967 35.01479222
1-16 0.0256018 0.0773183 0.536048 35.1429 0.0 0.00623995 0.00623995 0.0465539 0.0 34.6303 0.225479 0.217259 0.432285 35.678948
1-256 0.14587 0.301963 1.1007 35.4703 0.0 0.00809877 0.00809877 0.0537712 0.0 34.6197 0.223176 0.544603 0.650383 36.571
1-81 0.0361932 0.137056 1.0688 35.2211 0.0 0.00841201 0.00841201 0.0495634 0.0 34.5681 0.222875 0.353779 0.893893 36.2899
2-1 0.00170834 0.00147575 0.0086595 35.7493 0.0 0.00525104 0.00525104 0.0489024 0.0 34.4658 0.227428 0.98873 0.00544423 35.7579595
2-16 0.0256161 0.0814765 0.883594 35.1345 0.0 0.00631601 0.00631601 0.0448913 0.0 34.6466 0.225916 0.193841 0.775688 36.018094
2-256 0.110045 0.297659 1.08697 34.8709 0.0 0.00812211 0.00812211 0.0533195 0.0 34.4916 0.224185 0.0723421 0.676697 35.95787
2-81 0.0368301 0.171318 1.11662 34.8159 0.0 0.00833413 0.00833413 0.0479536 0.0 34.4242 0.224631 0.0932188 0.906828 35.93252
4-1 0.00168375 0.00149504 0.00866154 36.8205 0.0 0.00508069 0.00508069 0.0490645 0.0 34.4366 0.226062 2.09013 0.00544761 36.82916154
4-16 0.0257126 0.0741634 0.764783 35.2219 0.0 0.00786227 0.00786227 0.0456145 0.0 34.4065 0.225053 0.520048 0.66411 35.986683
4-256 0.103317 0.304819 1.0488 35.8352 0.0 0.0112193 0.0112193 0.0632013 0.0 34.536 0.224361 0.97502 0.636185 36.884
4-81 0.0337338 0.158528 1.05609 35.2388 0.0 0.010147 0.010147 0.0475672 0.0 34.4416 0.223905 0.496573 0.862202 36.29489
5-1 0.00152236 0.00152872 0.0086561 169.847 0.0 0.00550945 0.00550945 0.0497041 0.0 34.5806 0.225113 134.973 0.00556991 169.8556561
5-16 0.02831 0.075905 0.895426 62.8203 0.0 0.00628523 0.00628523 0.0452853 0.0 34.3832 0.224173 28.1442 0.790054 63.715726
5-81 0.0458217 0.18814 1.06939 49.6592 0.0 0.00773246 0.00773246 0.0516831 0.0 34.5896 0.22405 14.7661 0.833351 50.72859
